H,S,V,label
0,16,241,W
0,0,233,W
10,0,240,W
1,0,255,W
5,0,219,W
0,5,255,W
0,0,251,W
4,0,255,W
5,2,255,W
0,0,212,W
0,0,255,W
4,0,255,W
5,0,242,W
0,0,245,W
0,17,255,W
9,3,255,W
0,20,255,W
1,0,255,W
6,1,233,W
2,0,255,W
0,0,255,W
0,24,212,W
1,4,255,W
0,34,255,W
0,4,255,W
0,0,250,W
4,0,233,W
0,14,255,W
3,0,255,W
0,0,249,W
0,16,255,W
0,0,235,W
0,0,233,W
0,33,255,W
7,0,255,W
8,2,227,W
0,33,255,W
11,1,255,W
8,30,255,W
0,0,250,W
3,16,255,W
2,41,255,W
0,30,241,W
0,11,255,W
0,32,254,W
0,3,255,W
4,16,237,W
0,9,245,W
0,0,255,W
0,0,228,W
0,22,252,W
0,12,218,W
7,25,220,W
0,7,248,W
0,0,244,W
1,15,252,W
6,0,249,W
0,12,245,W
10,15,241,W
0,10,255,W
0,0,255,W
0,34,239,W
0,9,223,W
4,11,247,W
0,0,246,W
5,0,255,W
7,0,220,W
1,10,255,W
0,3,255,W
8,0,231,W
6,0,236,W
2,0,255,W
3,0,255,W
0,15,237,W
5,31,210,W
4,0,255,W
6,0,255,W
2,0,233,W
0,6,245,W
0,8,255,W
2,0,250,W
0,0,238,W
0,20,255,W
2,28,255,W
4,40,255,W
0,0,246,W
10,2,238,W
5,17,207,W
0,0,230,W
0,23,234,W
0,7,236,W
0,10,255,W
0,7,247,W
1,1,255,W
0,0,254,W
2,3,240,W
7,6,235,W
0,29,255,W
1,0,240,W
0,38,255,W
23,255,205,Y
31,255,255,Y
21,245,252,Y
15,252,219,Y
16,244,243,Y
30,255,255,Y
27,255,247,Y
35,255,240,Y
31,245,253,Y
27,240,255,Y
7,255,255,Y
25,250,246,Y
21,234,255,Y
23,255,234,Y
21,253,255,Y
30,255,255,Y
23,255,253,Y
20,242,255,Y
22,246,213,Y
21,242,249,Y
34,255,255,Y
9,252,247,Y
25,223,212,Y
21,243,255,Y
24,212,255,Y
23,246,240,Y
28,220,255,Y
21,255,239,Y
